%wallShearStress:0,wallShearStress:1,wallShearStress:2,Result,Points:0,Points:1,Points:2,Point ID
-0.000217898,-0.000307955,0.000652387,0.798824,0.288988,-0.219453,-0.732143,0
-0.000225098,-0.000341708,0.00064983,0.814003,0.288832,-0.219816,-0.732072,1
-0.000229974,-0.000359193,0.000689479,0.859378,0.288765,-0.219853,-0.731679,2
-0.000219679,-0.000326599,0.000707287,0.857998,0.28889,-0.219505,-0.731485,3
-0.000208401,-0.000298942,0.000649502,0.789434,0.289036,-0.21925,-0.731781,4
0.000231689,2.74403e-05,0.000876635,0.96158,0.267225,-0.221199,-0.682455,5
0.000232839,2.75132e-05,0.000840232,0.92467,0.267099,-0.221608,-0.682759,6
0.000261695,-8.83939e-06,0.00092607,1.02012,0.266938,-0.221507,-0.683386,7
0.000272958,-8.3436e-05,0.00100575,1.10819,0.266895,-0.220823,-0.68374,8
0.000292954,-5.34291e-05,0.00110104,1.20903,0.267026,-0.220259,-0.683267,9
0.000271993,1.41814e-05,0.00103059,1.12993,0.267194,-0.220535,-0.682609,10
-0.00154851,-0.000787659,0.00132777,2.3178,0.23778,-0.207449,-0.026588,11
-0.00145402,-0.00082017,0.00100629,2.06618,0.237651,-0.207734,-0.0268434,12
-0.00119212,-0.000796562,0.000672125,1.67849,0.23781,-0.207785,-0.0272115,13
-0.000854004,-0.000516948,0.000767863,1.335,0.238102,-0.207529,-0.0273025,14
-0.000901505,-0.000285232,0.00126157,1.67118,0.238201,-0.207244,-0.0270189,15
-0.00131164,-0.000497265,0.0015264,2.19744,0.238038,-0.207215,-0.0266726,16
-0.00111626,0.000317966,0.00167949,2.16401,0.220067,-0.204204,-0.0227025,17
-0.00114988,0.000286851,0.00162672,2.1334,0.219891,-0.204753,-0.0224565,18
-0.00112643,0.000419684,0.00162788,2.14502,0.219565,-0.204794,-0.0219851,19
-0.00108483,0.000534048,0.00173956,2.24563,0.219395,-0.204308,-0.0217042,20
-0.00101112,0.000545033,0.00178634,2.2512,0.21959,-0.203761,-0.0218782,21
-0.00101427,0.000466799,0.00173152,2.18391,0.219936,-0.203699,-0.0224051,22
8.01949e-06,0.000245629,0.00100027,1.09182,0.294059,-0.231973,-0.732448,23
-8.82503e-05,0.000243693,0.000999923,1.09494,0.293483,-0.231935,-0.732258,24
-0.00012443,0.000243706,0.00102903,1.12867,0.293053,-0.232005,-0.732701,25
-0.000129991,0.000250965,0.00111645,1.22077,0.293186,-0.232128,-0.733197,26
-7.11798e-05,0.000260051,0.00120819,1.31218,0.293674,-0.23219,-0.733359,27
2.58283e-05,0.000254948,0.00112513,1.22318,0.294117,-0.232105,-0.733053,28
-0.00095339,-0.00090853,0.000698945,1.5804,0.216621,-0.219179,-0.00175694,29
-0.00104582,-0.000975012,0.000770642,1.72173,0.216608,-0.21911,-0.00203693,30
-0.000966494,-0.000976299,0.000898827,1.7402,0.216997,-0.218758,-0.00225336,31
-0.0008396,-0.000947339,0.000929269,1.66454,0.217395,-0.218514,-0.00190138,32
-0.000818891,-0.00093438,0.000861218,1.60244,0.217401,-0.218567,-0.00161073,33
-0.00083885,-0.00088157,0.000753579,1.51721,0.217026,-0.218894,-0.00168049,34
-6.94358e-06,-9.46846e-06,-1.71901e-05,0.0220665,0.257295,-0.269702,-0.218581,35
2.07576e-05,-6.9838e-06,-1.41108e-05,0.0276163,0.259313,-0.270148,-0.217417,36
9.96488e-05,-5.19377e-05,-9.57815e-05,0.156513,0.26117,-0.270955,-0.218602,37
9.06177e-05,-3.17811e-05,-0.000260045,0.293842,0.261094,-0.270954,-0.220929,38
-3.18376e-05,2.02465e-05,-0.000463148,0.492563,0.259214,-0.270134,-0.22204,39
-5.20874e-05,-1.36543e-06,-0.00030403,0.32697,0.257271,-0.269688,-0.220877,40
-0.000564402,0.000345923,0.00321047,3.47468,0.258516,-0.213199,-0.0494732,41
-0.00056956,0.000267896,0.00346054,3.72835,0.258678,-0.213327,-0.0501505,42
-0.000537916,0.000163899,0.00366371,3.92901,0.2584,-0.21294,-0.050626,43
-0.000476403,0.000173677,0.00362226,3.87703,0.257931,-0.212491,-0.0504752,44
-0.000457811,0.000223434,0.00347468,3.72254,0.257744,-0.212353,-0.0498455,45
-0.000516443,0.000292466,0.00326092,3.51336,0.258051,-0.212675,-0.0493191,46
-0.000508095,3.09854e-05,-1.54409e-05,0.539829,0.264499,-0.245932,-0.482098,47
-0.000505326,5.98491e-05,-0.000262171,0.60677,0.264762,-0.24555,-0.483544,48
-0.00051528,2.71821e-05,-0.000589886,0.830744,0.266186,-0.245477,-0.484054,49
-0.0005364,-8.12228e-05,-0.000277349,0.645857,0.267373,-0.245553,-0.483106,50
-0.000498572,-0.00012198,0.000143125,0.56483,0.267174,-0.245943,-0.481658,51
-0.000480376,-3.93883e-05,6.34899e-05,0.515321,0.265725,-0.24625,-0.48116,52
-0.000176664,-0.000117686,0.000723519,0.799256,0.290326,-0.217414,-0.73331,53
-0.000171285,-0.00014259,0.000730687,0.809755,0.290169,-0.21755,-0.732754,54
-0.000151807,-0.000132708,0.000672665,0.74437,0.290397,-0.217248,-0.732271,55
-0.000144259,-0.00010027,0.000688812,0.753515,0.290841,-0.216808,-0.732359,56
-0.000166677,-9.2982e-05,0.000731666,0.801519,0.291021,-0.216679,-0.73296,57
-0.000179058,-9.97121e-05,0.000707692,0.780978,0.290735,-0.216982,-0.733428,58
0.00023688,1.69222e-05,0.000684927,0.768426,0.25042,-0.221593,-0.69959,59
0.000165093,9.91924e-05,0.000517929,0.585736,0.249801,-0.220683,-0.700141,60
0.000143378,0.000106315,0.000412528,0.476458,0.249362,-0.22079,-0.701286,61
0.000158911,6.01167e-05,0.000417318,0.477613,0.24958,-0.221905,-0.702005,62
0.000197372,-9.42047e-06,0.000401789,0.474614,0.250449,-0.222774,-0.701499,63
0.000254279,-4.51698e-05,0.000567985,0.66138,0.250849,-0.222569,-0.700228,64
-0.000431806,0.00109439,-0.000846288,1.53621,0.290482,-0.240205,-0.497947,65
-0.000516197,0.00105987,-0.000733724,1.47188,0.290195,-0.2401,-0.497915,66
-5.51118e-05,0.000767393,-0.000602113,1.03559,0.289994,-0.239608,-0.498227,67
0.000419007,0.000597283,-0.000665016,1.04643,0.290359,-0.23936,-0.498604,68
0.000319396,0.000768693,-0.000761014,1.19552,0.290626,-0.239505,-0.498644,69
-1.97471e-05,0.00096222,-0.000786097,1.31722,0.290538,-0.239864,-0.498307,70
-0.00061536,0.000534714,0.00126152,1.59213,0.229344,-0.205781,-0.0115137,71
-0.000671734,0.000564523,0.00127418,1.6399,0.229238,-0.205297,-0.0112647,72
-0.000675075,0.0005901,0.0013079,1.68088,0.228995,-0.205416,-0.010832,73
-0.000645657,0.000575591,0.00134648,1.6964,0.228956,-0.205962,-0.0108324,74
-0.000609503,0.000547904,0.00134105,1.66595,0.229154,-0.206149,-0.0112436,75
-0.000814538,0.000460305,0.00199595,2.33662,0.228394,-0.207248,-0.0370009,76
-0.000757417,0.000420253,0.00198503,2.29573,0.228696,-0.207717,-0.0371123,77
-0.000705263,0.000366612,0.00187915,2.16276,0.228834,-0.208067,-0.0366902,78
-0.000730752,0.000309904,0.00181012,2.09509,0.228634,-0.207975,-0.0361659,79
-0.000785689,0.000315043,0.00186082,2.16697,0.228292,-0.207533,-0.036062,80
-0.000817454,0.000412878,0.00194201,2.27594,0.228189,-0.207155,-0.0364749,81
-0.000692214,0.000637002,0.00229263,2.62681,0.29055,-0.230372,-0.736764,82
-0.000652183,0.000698073,0.00234439,2.68346,0.290538,-0.230083,-0.737072,83
-0.000697454,0.000737857,0.00252796,2.88769,0.290661,-0.230286,-0.737408,84
-0.000751001,0.000674238,0.002489,2.84699,0.290769,-0.230692,-0.737284,85
-0.000744826,0.000613488,0.00235543,2.69815,0.2907,-0.230712,-0.736897,86
8.13357e-05,-0.000101183,0.000564575,0.614067,0.266695,-0.276385,-0.206292,87
7.67722e-05,-0.000127321,0.000267015,0.323954,0.267011,-0.277133,-0.208435,88
4.76029e-05,-5.14901e-05,-0.000232476,0.257391,0.266386,-0.275781,-0.210172,89
-1.33859e-05,3.06313e-05,-0.000177166,0.19111,0.265236,-0.274107,-0.209819,90
2.41191e-07,1.03481e-05,0.000111915,0.119136,0.264566,-0.273317,-0.207748,91
7.01089e-05,-5.05811e-05,0.000386696,0.420016,0.2654,-0.274242,-0.205957,92
-0.000317596,-1.70845e-05,0.00320203,3.41086,0.256771,-0.211608,-0.0523979,93
-0.000264739,1.8336e-05,0.00320651,3.41052,0.257007,-0.211692,-0.0528996,94
-0.000133538,6.41968e-05,0.00311746,3.30824,0.256747,-0.211565,-0.0533496,95
-6.27364e-05,2.36219e-05,0.00339571,3.60015,0.256246,-0.2114,-0.053331,96
-0.000193904,-4.45103e-05,0.00361352,3.83613,0.255977,-0.211351,-0.0528563,97
-0.000320862,-4.04576e-05,0.00333301,3.54959,0.256242,-0.211432,-0.0523732,98
-0.00183263,0.00142451,0.00246762,3.59102,0.280444,-0.233249,-0.482692,99
-0.00115245,0.0015217,0.00105964,2.31424,0.280309,-0.232563,-0.48269,100
-0.00113455,0.00136788,0.00129895,2.33334,0.279412,-0.232014,-0.481516,101
-0.000853765,0.00072618,0.00149348,1.97932,0.278903,-0.23313,-0.480513,102
-0.000962371,0.000122789,0.00175305,2.12382,0.279101,-0.234687,-0.481122,103
-0.00148353,8.26268e-05,0.0022619,2.86864,0.279757,-0.234854,-0.482396,104
-0.00210802,0.000700594,0.00317383,4.10642,0.280106,-0.23435,-0.482678,105
-0.00264933,0.00132961,0.00401893,5.29349,0.280456,-0.233846,-0.482961,106
6.92718e-05,-5.26071e-05,0.000408629,0.442851,0.249192,-0.213699,-0.70891,107
0.000126941,-5.82133e-05,0.000531098,0.582101,0.248178,-0.214282,-0.709473,108
9.50188e-05,-9.98591e-05,0.000430331,0.478981,0.24759,-0.215124,-0.70877,109
0.000100044,-9.75703e-05,0.000378612,0.427793,0.247977,-0.215241,-0.707673,110
0.000125536,-6.56956e-05,0.000417479,0.467319,0.248769,-0.214636,-0.707224,111
6.58409e-05,-5.93099e-05,0.000351992,0.384754,0.249395,-0.213935,-0.707757,112
-0.000228308,-0.000216904,0.000798975,0.910325,0.289418,-0.218777,-0.733024,113
-0.000231705,-0.000264051,0.000768111,0.895311,0.28929,-0.218912,-0.732572,114
-0.000203906,-0.000256941,0.000674121,0.794672,0.289388,-0.218642,-0.732153,115
-0.000185542,-0.000211597,0.000695579,0.795373,0.289668,-0.218188,-0.732172,116
-0.000186285,-0.000179445,0.000726795,0.817736,0.289823,-0.218008,-0.732679,117
-0.000199746,-0.000176851,0.00073174,0.825589,0.289671,-0.218326,-0.733112,118
-0.00105714,-0.00139691,0.00164102,2.54441,0.223034,-0.212157,-0.0100544,119
-0.00122559,-0.00165402,0.00161462,2.77324,0.222703,-0.212509,-0.010413,120
-0.00135245,-0.00172498,0.00159186,2.87155,0.222704,-0.212429,-0.0109974,121
-0.00132024,-0.0015211,0.00189594,2.93208,0.223055,-0.212014,-0.0112398,122
-0.00111259,-0.00120104,0.00194349,2.69363,0.223442,-0.211641,-0.0108931,123
-0.000962397,-0.00113605,0.00165557,2.36019,0.223423,-0.211704,-0.010292,124
-0.000572565,0.000197376,0.00143803,1.65398,0.232278,-0.210665,-0.0305101,125
-0.000596755,0.000181065,0.00139084,1.6157,0.23258,-0.210623,-0.0300495,126
-0.000681505,0.000160951,0.00143477,1.69232,0.232325,-0.21056,-0.0295355,127
-0.000710693,0.000146684,0.00147569,1.74313,0.231786,-0.210534,-0.0295159,128
-0.000659257,0.000165858,0.00151381,1.75901,0.231513,-0.210532,-0.0299856,129
-0.000608685,0.000195142,0.00152329,1.75108,0.23175,-0.2106,-0.0304658,130
-0.00357959,-0.000754868,0.00460964,6.238,0.293337,-0.220868,-0.743708,131
-0.00402423,-0.000553024,0.00579998,7.50582,0.293688,-0.221026,-0.744167,132
-0.00475527,-0.000315954,0.00683337,8.83097,0.293756,-0.221323,-0.744217,133
-0.00615548,-0.000602209,0.00829614,10.9688,0.293824,-0.22162,-0.744267,134
-0.00537764,-0.00152265,0.00701497,9.50739,0.293704,-0.221845,-0.744073,135
-0.00372636,-0.00174768,0.00481796,6.71683,0.293583,-0.222071,-0.743879,136
-0.00276257,-0.000912842,0.00338732,4.73323,0.29317,-0.221874,-0.74346,137
-0.0026878,-0.000744219,0.00331114,4.58893,0.29306,-0.221265,-0.743388,138
-0.000125024,-3.8733e-05,0.000905489,0.969793,0.258746,-0.2933,-0.199563,139
-0.000215731,-8.03722e-05,0.000211981,0.331723,0.259056,-0.293298,-0.197542,140
-0.000214918,-6.11649e-05,-0.000305974,0.401614,0.257526,-0.293424,-0.196141,141
-7.71904e-05,-1.81125e-05,6.47925e-05,0.108537,0.255379,-0.293336,-0.196935,142
-1.91179e-05,1.64699e-06,0.000526064,0.557998,0.255134,-0.293338,-0.199204,143
-5.72723e-05,3.99036e-06,0.00090658,0.9629,0.256971,-0.293428,-0.200431,144
-0.000571596,-1.84597e-06,0.00438538,4.68782,0.253316,-0.219386,-0.0474281,145
-0.000846979,2.60648e-05,0.00460474,4.96298,0.253465,-0.219392,-0.0481696,146
-0.000974747,2.45243e-05,0.00453969,4.92182,0.254136,-0.219545,-0.0484385,147
-0.000966494,-6.0537e-05,0.00454445,4.92527,0.25471,-0.219607,-0.0479654,148
-0.000782156,-0.000105589,0.00473075,5.08391,0.254591,-0.219633,-0.0472001,149
-0.000508187,-5.00607e-05,0.00451032,4.81149,0.253868,-0.219565,-0.0469317,150
0.000344884,-9.69343e-05,0.000730475,0.862409,0.251723,-0.223308,-0.699664,151
0.000345813,-0.000108188,0.000955979,1.08368,0.251941,-0.223159,-0.698466,152
0.000300437,-9.60512e-05,0.00104913,1.16125,0.251393,-0.222288,-0.697871,153
0.000280847,-2.39673e-05,0.000938299,1.03851,0.250746,-0.221461,-0.698431,154
-0.000167767,-0.000143084,0.000472964,0.553147,0.298306,-0.226038,-0.718898,155
-0.000128296,-6.84134e-05,0.000386132,0.437356,0.298579,-0.225096,-0.719247,156
-0.000167702,-7.76253e-05,0.000484113,0.549275,0.298458,-0.224237,-0.718637,157
-0.00018777,-0.000192052,0.00053496,0.634518,0.298117,-0.224336,-0.717639,158
-0.000190843,-0.000243375,0.000532327,0.652588,0.297921,-0.225313,-0.717258,159
-0.000210835,-0.000204248,0.000569895,0.679516,0.297989,-0.226157,-0.717907,160
-4.63455e-05,-6.87136e-05,0.000390931,0.423598,0.262849,-0.222549,-0.507172,161
-4.86228e-05,-5.67677e-05,0.000466026,0.500301,0.263091,-0.222183,-0.508842,162
-6.07649e-05,-3.53102e-05,0.000500829,0.536081,0.2627,-0.223361,-0.510041,163
-6.50454e-05,-2.30248e-05,0.000434584,0.46643,0.262166,-0.224978,-0.509573,164
-4.51232e-05,-1.84896e-05,0.000346247,0.370644,0.261833,-0.225336,-0.507893,165
-3.8827e-05,-4.3185e-05,0.000339652,0.365255,0.262125,-0.224084,-0.506691,166
-9.66791e-05,0.000456642,0.00173384,1.90331,0.226676,-0.209198,-0.0103431,167
-5.64088e-05,0.000482164,0.00158691,1.75907,0.226436,-0.209224,-0.00977063,168
-1.05918e-05,0.000387601,0.00160914,1.75451,0.225932,-0.209621,-0.0096947,169
-1.01845e-05,0.000265061,0.00162918,1.74967,0.225678,-0.209898,-0.010167,170
-6.83654e-05,0.00023264,0.0016562,1.77428,0.22589,-0.209837,-0.0106989,171
-0.000106884,0.000330518,0.00177584,1.91806,0.226385,-0.209533,-0.0107991,172
-0.00107726,0.000983376,0.00254452,3.10891,0.229057,-0.20334,-0.0396561,173
-0.0011112,0.000977289,0.00258902,3.16102,0.229297,-0.203457,-0.0401476,174
-0.00118901,0.000865721,0.00261706,3.18215,0.229252,-0.203971,-0.0403608,175
-0.00119845,0.000788703,0.00255546,3.10649,0.229012,-0.204386,-0.0400698,176
-0.00115137,0.000813888,0.00247633,3.02059,0.228771,-0.204281,-0.0395771,177
-0.00110849,0.000897204,0.00249489,3.04613,0.228771,-0.203748,-0.0393766,178
-0.000745066,-0.000886056,0.00188146,2.34165,0.300148,-0.224597,-0.733515,179
-0.000683061,-0.000784527,0.00185638,2.25564,0.300223,-0.224702,-0.733949,180
-0.000585625,-0.000499441,0.00177977,2.05541,0.300398,-0.224396,-0.734242,181
-0.000584656,-0.000413436,0.00166748,1.92361,0.300496,-0.223944,-0.734109,182
-0.000680243,-0.000550127,0.00174348,2.06771,0.300383,-0.223804,-0.733654,183
-0.000740376,-0.000734756,0.00188087,2.27979,0.30021,-0.224151,-0.733353,184
-4.2335e-05,-0.000160222,0.000752346,0.816605,0.245014,-0.283894,-0.217103,185
-8.46308e-05,-0.000147327,0.00107228,1.1508,0.24507,-0.282382,-0.218702,186
-5.51771e-05,-0.000132725,0.00104958,1.12294,0.245267,-0.283053,-0.220803,187
-2.26464e-05,-7.98016e-05,0.000973833,1.036,0.245678,-0.285172,-0.221262,188
-5.69626e-05,-9.94474e-05,0.00129988,1.38322,0.246058,-0.286588,-0.219612,189
-4.73826e-05,-0.000164879,0.00105352,1.13144,0.245591,-0.285981,-0.217553,190
-0.00029812,-5.2121e-05,0.00408093,4.33766,0.251478,-0.213612,-0.0561871,191
-0.000498854,-3.71033e-05,0.00421782,4.50223,0.251169,-0.213957,-0.0561665,192
-0.000621736,0.000232644,0.00422985,4.53852,0.250954,-0.214122,-0.0557171,193
-0.000720703,0.000577697,0.00446345,4.8315,0.251068,-0.21384,-0.0552649,194
-0.000867235,0.000417341,0.0047028,5.08828,0.251474,-0.213464,-0.0553261,195
-0.000553179,7.43564e-05,0.00431991,4.61717,0.251668,-0.213401,-0.0557989,196
0.000312485,-0.000107482,0.00100641,1.12283,0.265852,-0.21947,-0.687239,197
0.000301389,-8.83515e-05,0.00100415,1.11525,0.265578,-0.219252,-0.688053,198
0.000273563,-8.47202e-05,0.000983017,1.08532,0.265417,-0.218454,-0.68823,199
0.000262213,-8.8207e-05,0.000959689,1.05869,0.265498,-0.217938,-0.687594,200
0.000279813,-0.000135928,0.000957821,1.0675,0.265745,-0.218184,-0.686834,201
0.000304819,-0.00015605,0.000984146,1.10454,0.265938,-0.218919,-0.686656,202
-0.000131232,-0.000121424,0.000115584,0.225671,0.295875,-0.229232,-0.715303,203
-0.000182694,-0.000110937,0.000248927,0.347785,0.29576,-0.229741,-0.71611,204
-0.000263433,-0.000138638,0.000495139,0.612402,0.296219,-0.229568,-0.716913,205
-0.000281566,-0.000198474,0.000551471,0.689238,0.296749,-0.228862,-0.717079,206
-0.000216465,-0.000201291,0.000378864,0.509366,0.296896,-0.22816,-0.716353,207
-0.00015617,-0.000154411,0.000217548,0.327674,0.296481,-0.228356,-0.71538,208
0.00172623,0.00094184,0.00717765,7.88868,0.236527,-0.198613,-0.0102439,209
0.0002334,0.00073184,0.00815222,8.67963,0.236733,-0.198608,-0.0103324,210
-0.000442747,0.000422813,0.00726051,7.72346,0.236762,-0.198626,-0.0108355,211
0.000422891,0.000261789,0.0059393,6.31769,0.236331,-0.198731,-0.0110032,212
0.00134722,0.000666851,0.00622814,6.7914,0.236071,-0.19883,-0.0105873,213
0.00203196,0.00103227,0.00651648,7.31776,0.236328,-0.198715,-0.0102132,214
0.000192543,9.39049e-05,0.000363219,0.446987,0.265874,-0.218032,-0.510295,215
0.000127592,8.79965e-05,0.000404809,0.459474,0.264955,-0.218896,-0.511444,216
3.01658e-05,2.441e-05,0.000445329,0.473838,0.264102,-0.220323,-0.510966,217
-1.30372e-05,-4.65474e-05,0.000476725,0.50792,0.26392,-0.220718,-0.509311,218
1.58722e-05,-5.46747e-05,0.00043687,0.466997,0.264697,-0.219753,-0.508131,219
0.000121953,2.12332e-05,0.000364914,0.408459,0.265797,-0.218494,-0.508636,220
-0.000676452,2.83185e-05,0.00101304,1.29156,0.235995,-0.209237,-0.0278225,221
-0.000857496,-6.42374e-05,0.0010937,1.47474,0.23582,-0.209161,-0.0273461,222
-0.000829134,-1.31561e-05,0.00124697,1.58737,0.235362,-0.20933,-0.0272247,223
-0.000696819,7.87073e-05,0.00127438,1.54185,0.235052,-0.209561,-0.027591,224
-0.000572274,0.000157431,0.00124808,1.46495,0.235229,-0.209639,-0.0280855,225
-0.000528318,0.000153208,0.00113318,1.33522,0.235713,-0.209485,-0.0281956,226
0.000550551,0.000302643,0.00399156,4.28315,0.254446,-0.211519,-0.0546836,227
0.000648027,0.000379568,0.00366907,3.96985,0.254529,-0.211506,-0.0551632,228
0.000720466,0.000369605,0.00359453,3.90569,0.254125,-0.21165,-0.0555117,229
0.00061035,0.000273364,0.00381833,4.10904,0.253707,-0.211857,-0.055308,230
0.000238988,0.000234238,0.00418334,4.4485,0.253664,-0.211903,-0.0547521,231
0.000263178,0.000254653,0.00428006,4.55344,0.254001,-0.211709,-0.0544763,232
0.000109504,-0.000166133,0.000466291,0.537388,0.246615,-0.216997,-0.708326,233
6.4727e-05,-0.000204647,0.000362778,0.446809,0.247112,-0.216939,-0.707246,234
6.80557e-05,-0.000156413,0.000352722,0.415311,0.24771,-0.216074,-0.706983,235
0.000104942,-0.000126199,0.00050633,0.564204,0.246826,-0.216015,-0.709159,236
0.000217061,-0.000279356,0.000133234,0.400711,0.277262,-0.222754,-0.498272,237
0.000224312,-0.000228133,0.000187996,0.393348,0.276227,-0.22164,-0.498801,238
0.000239217,-0.000159781,0.000125435,0.332658,0.274935,-0.221137,-0.497877,239
0.000258861,-0.000141529,2.98478e-05,0.314322,0.27478,-0.22159,-0.496145,240
0.000222043,-0.000189791,8.84923e-05,0.323525,0.275995,-0.222633,-0.49555,241
0.00019776,-0.0002541,0.000125591,0.366351,0.277185,-0.223296,-0.496753,242
0.000798676,0.000194093,-0.000611618,1.08599,0.29023,-0.238816,-0.498868,243
0.000814082,-5.1082e-06,-0.000545828,1.03895,0.29061,-0.238588,-0.499219,244
0.000658166,0.000205562,-0.000541278,0.929191,0.29084,-0.238766,-0.499279,245
0.000680833,0.000562444,-0.000734282,1.21741,0.290715,-0.239145,-0.49898,246
0.00019044,7.49532e-05,-0.000189533,0.295677,0.272739,-0.217325,-0.505367,247
0.00011282,7.09426e-05,-0.000145793,0.209379,0.271187,-0.217643,-0.504616,248
7.16331e-05,6.08762e-05,-0.000132435,0.172152,0.271136,-0.21839,-0.503091,249
0.000147412,-7.62959e-06,-3.36285e-05,0.160475,0.272538,-0.218868,-0.502345,250
0.000194101,2.60865e-05,-0.000153647,0.263859,0.27402,-0.218781,-0.503132,251
0.000196234,0.000100287,-0.000300983,0.395419,0.27417,-0.217984,-0.504629,252
0.00124418,0.00202469,0.00343407,4.42672,0.238696,-0.198631,-0.0359827,253
0.00140961,0.00227255,0.00378922,4.91612,0.238668,-0.198951,-0.0365388,254
0.00120709,0.00255631,0.00437272,5.51938,0.238148,-0.199173,-0.0368216,255
0.00101264,0.0027479,0.00473236,5.89913,0.237569,-0.199167,-0.0365989,256
0.000908022,0.00272227,0.00414434,5.34337,0.237362,-0.198916,-0.0360878,257
0.000615158,0.00233499,0.00327652,4.31436,0.237638,-0.198596,-0.0356879,258
0.000700985,0.00199262,0.00308516,3.96335,0.238209,-0.198462,-0.0356272,259
-0.000132354,-2.79531e-05,0.00443707,4.70548,0.25636,-0.219216,-0.0446366,260
-0.000378728,-0.000175082,0.00489616,5.20874,0.256194,-0.219294,-0.0453618,261
-0.000636304,-0.000330776,0.00543648,5.81259,0.256629,-0.219051,-0.0458578,262
-0.000537382,-0.000391852,0.00551108,5.88413,0.25725,-0.218631,-0.0456028,263
-0.000213192,-0.000260945,0.00526966,5.59725,0.25735,-0.218561,-0.0448708,264
-3.54864e-05,-3.67442e-05,0.00468582,4.96727,0.256896,-0.218903,-0.0444007,265
-0.000419348,-2.49434e-05,0.0016333,1.78765,0.301021,-0.222988,-0.735179,266
-0.000416169,-2.31832e-05,0.00174902,1.90588,0.301178,-0.222681,-0.735586,267
-0.000479546,-0.000134611,0.00175875,1.93759,0.301235,-0.222126,-0.735529,268
-0.000510933,-0.000165515,0.001608,1.79704,0.301103,-0.22188,-0.735029,269
-0.000500389,-0.000154839,0.00144171,1.62595,0.300941,-0.222228,-0.734607,270
-0.000473208,-0.000126599,0.00147759,1.65007,0.300916,-0.222781,-0.734699,271
3.88173e-06,5.42974e-06,-0.000157124,0.166702,0.247307,-0.289518,-0.212986,272
-1.88586e-05,1.52626e-05,8.13032e-05,0.0899365,0.246238,-0.288072,-0.21249,273
2.37163e-05,-0.000102051,0.000164067,0.206346,0.245546,-0.286796,-0.213946,274
-6.30725e-06,-0.000153664,0.000664121,0.722597,0.245967,-0.28735,-0.215963,275
-6.48944e-05,-6.91136e-05,0.000947912,1.0098,0.247153,-0.28912,-0.216274,276
-9.65389e-06,-2.37091e-05,0.000161139,0.17295,0.247801,-0.290011,-0.214753,277
-8.3606e-05,0.000148261,0.000445718,0.505739,0.287209,-0.227223,-0.72756,278
-0.000100774,0.000145136,0.000527182,0.589364,0.287428,-0.227704,-0.72723,279
-0.000152327,0.000131076,0.00081217,0.886862,0.287419,-0.227719,-0.726578,280
-0.000208537,0.000146737,0.00110265,1.19965,0.28713,-0.227225,-0.726248,281
-0.000147448,0.000126503,0.00087725,0.952416,0.286966,-0.22668,-0.726612,282
-7.75899e-05,0.000114704,0.000522087,0.572549,0.287036,-0.226693,-0.727272,283
0.000135963,-0.000166564,0.000285905,0.379195,0.24747,-0.219919,-0.705205,284
0.000202306,-0.000133294,0.00053752,0.624971,0.247682,-0.218812,-0.704723,285
0.000156571,-0.000193979,0.000516441,0.607865,0.247576,-0.217812,-0.70542,286
9.51333e-05,-0.000235564,0.000366969,0.473105,0.247073,-0.217901,-0.70651,287
0.000133657,-0.00020632,0.000370924,0.47169,0.24672,-0.218972,-0.706915,288
0.000128798,-0.000198492,0.000268972,0.379732,0.247012,-0.21999,-0.706307,289
-0.000776055,0.000117638,0.00163135,1.91898,0.230253,-0.200753,-0.0158855,290
-0.000723659,7.77698e-05,0.00165409,1.91557,0.229896,-0.200386,-0.0156937,291
-0.000712304,2.10863e-05,0.00176772,2.02031,0.229703,-0.200412,-0.0151764,292
-0.000785964,4.0962e-05,0.00181239,2.09445,0.229846,-0.200818,-0.0148544,293
-0.00082574,0.000133805,0.00165863,1.96909,0.230176,-0.201211,-0.015055,294
-0.00080544,0.000153626,0.00159272,1.89888,0.23039,-0.201172,-0.0155688,295
0.000256369,2.92428e-05,-8.62908e-05,0.288402,0.272816,-0.216572,-0.506965,296
0.000279184,3.66311e-06,8.0467e-05,0.308006,0.271285,-0.216219,-0.507828,297
0.000247868,3.28375e-05,7.64907e-05,0.277161,0.269738,-0.216764,-0.507107,298
0.000145989,5.46654e-05,-4.59109e-05,0.172259,0.269717,-0.217436,-0.505493,299
-0.000666924,-4.00189e-05,0.000830047,1.12947,0.236447,-0.209059,-0.0279321,300
-0.000854842,-0.000218565,0.000722704,1.20897,0.236698,-0.20879,-0.0275879,301
-0.00105539,-0.000296249,0.000874274,1.48626,0.236536,-0.208694,-0.0271115,302
-0.00104443,-0.000199406,0.00108037,1.6068,0.23611,-0.208887,-0.0269794,303
0.000120672,0.000758574,0.00360094,3.90287,0.250459,-0.215001,-0.0548043,304
-3.78863e-05,0.000741949,0.00381159,4.11632,0.250531,-0.214767,-0.0549448,305
-0.000182042,0.000515547,0.00381062,4.08063,0.250529,-0.214791,-0.0554241,306
-1.94494e-05,0.000455316,0.00371945,3.9721,0.250443,-0.215259,-0.0555373,307
